Property Name,Layout,Status,Block,Price
A-51-3A,TYPE A14,Available,BLOCK A,653888
A-51-5,TYPE B14,Available,BLOCK A,647888
A-51-6,TYPE A,Available,BLOCK A,775888
A-52-1,TYPE C,Available,BLOCK A,823888
A-52-2,TYPE D,Available,BLOCK A,815888
A-52-3,TYPE B,Available,BLOCK A,823888
A-52-3A,TYPE A15,Available,BLOCK A,653888
A-52-5,TYPE B15,Available,BLOCK A,647888
A-52-6,TYPE A,Available,BLOCK A,775888
A-53-1,TYPE C,Available,BLOCK A,823888
A-53-2,TYPE D,Available,BLOCK A,815888
A-53-3,TYPE B,Available,BLOCK A,823888
A-53-3A,TYPE A15,Available,BLOCK A,653888
A-53-5,TYPE B15,Available,BLOCK A,647888
A-53-6,TYPE A,Available,BLOCK A,775888
A-53A-1,TYPE C,Hold,BLOCK A,823888
A-53A-2,TYPE D,Hold,BLOCK A,815888
A-53A-3,TYPE B,Available,BLOCK A,823888
A-53A-3A,TYPE A15,Available,BLOCK A,653888
A-53A-5,TYPE B15,Available,BLOCK A,647888
A-53A-6,TYPE A,Available,BLOCK A,775888
A-8-1,TYPE C,Signed,BLOCK A,874888
A-8-2,TYPE D,Signed,BLOCK A,866888
A-8-3,TYPE B,Hold,BLOCK A,874888
A-8-3A,TYPE A16,Available,BLOCK A,704888
A-8-5,TYPE B16,Available,BLOCK A,698888
A-8-6,TYPE A,Hold,BLOCK A,748888
A-9-1,TYPE C,Hold,BLOCK A,781888
A-9-2,TYPE D,Available,BLOCK A,773888
A-9-3,TYPE B,Available,BLOCK A,781888
A-9-3A,TYPE A16,Hold,BLOCK A,611888
A-9-5,TYPE B16,Hold,BLOCK A,605888
A-9-6,TYPE A,Available,BLOCK A,733888
B-10-1,TYPE C,Signed,BLOCK B,346888
,,,,
B-10-3,TYPE B,Signed,BLOCK B,340888
,,,,
,,,,
,,,,
B-10-7,TYPE C,Signed,BLOCK B,656888
B-10-8,TYPE D,Hold,BLOCK B,659888
B-10-9,TYPE B,Hold,BLOCK B,662888
B-11-1,TYPE A17,Signed,BLOCK B,348888
,,,,
B-11-3,TYPE A,Signed,BLOCK B,342888
,,,,
,,,,
,,,,
B-11-7,TYPE A17,Hold,BLOCK B,658888
B-11-8,TYPE B17,Signed,BLOCK B,679888
,,,,
,,,,
,,,,
B-12-3,TYPE B,Hold,BLOCK B,342888
,,,,
,,,,
B-12-6,TYPE A,Hold,BLOCK B,664888
B-12-7,TYPE C,Signed,BLOCK B,658888
B-12-8,TYPE D,Hold,BLOCK B,661888
B-12-9,TYPE B,Hold,BLOCK B,664888
B-13-1,TYPE A18,Hold,BLOCK B,348888
,,,,
B-13-3,TYPE A,Hold,BLOCK B,342888
,,,,
,,,,
B-13-6,TYPE B,Hold,BLOCK B,664888
B-13-7,TYPE A18,Hold,BLOCK B,658888
B-13-8,TYPE B18,Hold,BLOCK B,661888
B-13-9,TYPE A,Hold,BLOCK B,664888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-13A-7,TYPE C,Signed,BLOCK B,676888
B-13A-8,TYPE D,Signed,BLOCK B,661888
B-13A-9,TYPE B,Signed,BLOCK B,682888
B-15-1,TYPE A19,Signed,BLOCK B,348888
,,,,
B-15-3,TYPE A,Hold,BLOCK B,342888
,,,,
B-15-5,TYPE D,Hold,BLOCK B,622888
B-15-6,TYPE B,Hold,BLOCK B,664888
B-15-7,TYPE A19,Signed,BLOCK B,658888
B-15-8,TYPE B19,Signed,BLOCK B,661888
B-15-9,TYPE A,Hold,BLOCK B,664888
B-16-1,TYPE C,Signed,BLOCK B,353888
B-16-2,TYPE D,Sold,BLOCK B,347888
B-16-3,TYPE B,Hold,BLOCK B,347888
,,,,
,,,,
B-16-6,TYPE A,Hold,BLOCK B,669888
B-16-7,TYPE C,Signed,BLOCK B,663888
B-16-8,TYPE D,Signed,BLOCK B,666888
,,,,
B-17-1,TYPE A20,Hold,BLOCK B,353888
,,,,
B-17-3,TYPE A,Signed,BLOCK B,347888
,,,,
,,,,
B-17-6,TYPE B,Hold,BLOCK B,687888
B-17-7,TYPE A20,Hold,BLOCK B,663888
B-17-8,TYPE B20,Signed,BLOCK B,684888
,,,,
,,,,
B-18-2,TYPE D,Hold,BLOCK B,347888
B-18-3,TYPE B,Signed,BLOCK B,347888
,,,,
,,,,
,,,,
B-18-7,TYPE C,Hold,BLOCK B,663888
B-18-8,TYPE D,Signed,BLOCK B,666888
,,,,
B-19-1,TYPE A21,Hold,BLOCK B,353888
B-19-2,TYPE B21,Hold,BLOCK B,347888
B-19-3,TYPE A,Hold,BLOCK B,347888
,,,,
,,,,
B-19-6,TYPE B,Signed,BLOCK B,669888
B-19-7,TYPE A21,Signed,BLOCK B,663888
B-19-8,TYPE B21,Signed,BLOCK B,666888
B-19-9,TYPE A,Hold,BLOCK B,669888
,,,,
,,,,
B-20-3,TYPE B,Hold,BLOCK B,347888
,,,,
,,,,
B-20-6,TYPE A,Hold,BLOCK B,669888
B-20-7,TYPE C,Signed,BLOCK B,681888
B-20-8,TYPE D,Hold,BLOCK B,666888
B-20-9,TYPE B,Signed,BLOCK B,687888
,,,,
,,,,
,,,,
,,,,
,,,,
B-21-6,TYPE B,Hold,BLOCK B,674888
B-21-7,TYPE A22,Hold,BLOCK B,668888
B-21-8,TYPE B22,Signed,BLOCK B,671888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-22-6,TYPE A,Hold,BLOCK B,674888
B-22-7,TYPE C,Sold,BLOCK B,668888
B-22-8,TYPE D,Signed,BLOCK B,671888
B-22-9,TYPE B,Hold,BLOCK B,674888
,,,,
,,,,
,,,,
,,,,
,,,,
B-23-6,TYPE B,Signed,BLOCK B,692888
B-23-7,TYPE A23,Reserved,BLOCK B,668888
B-23-8,TYPE B23,Signed,BLOCK B,689888
B-23-9,TYPE A,Hold,BLOCK B,674888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-23A-7,TYPE C,Hold,BLOCK B,668888
B-23A-8,TYPE D,Hold,BLOCK B,671888
B-23A-9,TYPE B,Hold,BLOCK B,674888
B-25-1,TYPE A24,Hold,BLOCK B,358888
,,,,
,,,,
,,,,
,,,,
B-25-6,TYPE B,Signed,BLOCK B,674888
B-25-7,TYPE A24,Signed,BLOCK B,668888
B-25-8,TYPE B24,Hold,BLOCK B,671888
B-25-9,TYPE A,Hold,BLOCK B,674888
,,,,
,,,,
B-26-3,TYPE B,Signed,BLOCK B,357888
,,,,
,,,,
,,,,
B-26-7,TYPE C,Signed,BLOCK B,691888
B-26-8,TYPE D,Signed,BLOCK B,676888
B-26-9,TYPE B,Signed,BLOCK B,697888
,,,,
,,,,
,,,,
,,,,
,,,,
B-27-6,TYPE B,Hold,BLOCK B,679888
,,,,
B-27-8,TYPE B25,Hold,BLOCK B,676888
,,,,
B-28-1,TYPE C,Sold,BLOCK B,363888
,,,,
,,,,
,,,,
,,,,
